horizon,accuracy,accuracy_up,accuracy_down,accuracy_flat,n_up,n_down,n_flat,model,subset,n_samples
1,0.17123287671232876,0.0,0.0,1.0,59,62,25,naive_persistence,full,146
5,0.11643835616438356,0.0,0.0,1.0,46,83,17,naive_persistence,full,146
20,0.0273972602739726,0.0,0.0,1.0,47,95,4,naive_persistence,full,146
30,0.0410958904109589,0.0,0.0,1.0,45,95,6,naive_persistence,full,146
1,0.4931506849315068,0.6610169491525424,0.45161290322580644,0.2,59,62,25,seasonal_naive,full,146
5,0.11643835616438356,0.0,0.0,1.0,46,83,17,seasonal_naive,full,146
20,0.0273972602739726,0.0,0.0,1.0,47,95,4,seasonal_naive,full,146
30,0.0410958904109589,0.0,0.0,1.0,45,95,6,seasonal_naive,full,146
1,0.3835616438356164,0.8983050847457628,0.016129032258064516,0.08,59,62,25,linear_ridge,full,146
5,0.3767123287671233,0.6304347826086957,0.27710843373493976,0.17647058823529413,46,83,17,linear_ridge,full,146
20,0.3219178082191781,1.0,0.0,0.0,47,95,4,linear_ridge,full,146
30,0.5547945205479452,0.13333333333333333,0.7894736842105263,0.0,45,95,6,linear_ridge,full,146
1,0.4246575342465753,0.0,1.0,0.0,59,62,25,linear_lasso,full,146
5,0.5684931506849316,0.0,1.0,0.0,46,83,17,linear_lasso,full,146
20,0.3219178082191781,1.0,0.0,0.0,47,95,4,linear_lasso,full,146
30,0.547945205479452,0.17777777777777778,0.7368421052631579,0.3333333333333333,45,95,6,linear_lasso,full,146
1,0.3835616438356164,0.3728813559322034,0.3548387096774194,0.48,59,62,25,tsm,full,146
5,0.3561643835616438,0.43478260869565216,0.3373493975903614,0.23529411764705882,46,83,17,tsm,full,146
20,0.3767123287671233,0.7446808510638298,0.2,0.25,47,95,4,tsm,full,146
30,0.4452054794520548,0.7777777777777778,0.3157894736842105,0.0,45,95,6,tsm,full,146
1,0.3835616438356164,0.3728813559322034,0.3548387096774194,0.48,59,62,25,TSM+LLM-COT-RF-HDELTA,llm_subset,146
5,0.3493150684931507,0.41304347826086957,0.3373493975903614,0.23529411764705882,46,83,17,TSM+LLM-COT-RF-HDELTA,llm_subset,146
20,0.3767123287671233,0.7446808510638298,0.2,0.25,47,95,4,TSM+LLM-COT-RF-HDELTA,llm_subset,146
30,0.4452054794520548,0.7777777777777778,0.3157894736842105,0.0,45,95,6,TSM+LLM-COT-RF-HDELTA,llm_subset,146
1,0.17123287671232876,0.0,0.0,1.0,59,62,25,naive_persistence_llm_subset,llm_subset,146
5,0.11643835616438356,0.0,0.0,1.0,46,83,17,naive_persistence_llm_subset,llm_subset,146
20,0.0273972602739726,0.0,0.0,1.0,47,95,4,naive_persistence_llm_subset,llm_subset,146
30,0.0410958904109589,0.0,0.0,1.0,45,95,6,naive_persistence_llm_subset,llm_subset,146
1,0.4931506849315068,0.6610169491525424,0.45161290322580644,0.2,59,62,25,seasonal_naive_llm_subset,llm_subset,146
5,0.11643835616438356,0.0,0.0,1.0,46,83,17,seasonal_naive_llm_subset,llm_subset,146
20,0.0273972602739726,0.0,0.0,1.0,47,95,4,seasonal_naive_llm_subset,llm_subset,146
30,0.0410958904109589,0.0,0.0,1.0,45,95,6,seasonal_naive_llm_subset,llm_subset,146
1,0.3835616438356164,0.8983050847457628,0.016129032258064516,0.08,59,62,25,linear_ridge_llm_subset,llm_subset,146
5,0.3767123287671233,0.6304347826086957,0.27710843373493976,0.17647058823529413,46,83,17,linear_ridge_llm_subset,llm_subset,146
20,0.3219178082191781,1.0,0.0,0.0,47,95,4,linear_ridge_llm_subset,llm_subset,146
30,0.5547945205479452,0.13333333333333333,0.7894736842105263,0.0,45,95,6,linear_ridge_llm_subset,llm_subset,146
1,0.4246575342465753,0.0,1.0,0.0,59,62,25,linear_lasso_llm_subset,llm_subset,146
5,0.5684931506849316,0.0,1.0,0.0,46,83,17,linear_lasso_llm_subset,llm_subset,146
20,0.3219178082191781,1.0,0.0,0.0,47,95,4,linear_lasso_llm_subset,llm_subset,146
30,0.547945205479452,0.17777777777777778,0.7368421052631579,0.3333333333333333,45,95,6,linear_lasso_llm_subset,llm_subset,146
1,0.3835616438356164,0.3728813559322034,0.3548387096774194,0.48,59,62,25,tsm_llm_subset,llm_subset,146
5,0.3561643835616438,0.43478260869565216,0.3373493975903614,0.23529411764705882,46,83,17,tsm_llm_subset,llm_subset,146
20,0.3767123287671233,0.7446808510638298,0.2,0.25,47,95,4,tsm_llm_subset,llm_subset,146
30,0.4452054794520548,0.7777777777777778,0.3157894736842105,0.0,45,95,6,tsm_llm_subset,llm_subset,146
